age	gender	daily.views
26	Male	10.3
6	Male	24.4
54	Male	179.9
55	Female	120.3
58	Male	33.9
60	Female	155.8
53	Male	188.1
56	Female	158.2
59	Female	26.8
46	Female	2.8
63	Female	121.1
59	Female	15.3
44	Female	436.9
60	Female	96.1
29	Female	0.6
11	Female	2.9
50	Male	50.9
49	Female	5.9
67	Female	169.7
33	Female	12
42	Female	82.2
42	Male	1.2
56	Female	69.2
54	Male	72.4
56	Female	3.6
59	Female	79.2
58	Female	753.2
36	Female	90
59	Female	217.3
54	Male	0.2
51	Female	18.8
32	Female	44.6
47	Female	482.5
43	Female	147.2
43	Female	168.7
48	Female	24.7
62	Female	20.2
55	Male	104.4
52	Female	20.6
40	Female	21.2
21	Female	68.6
5	Male	0.2
64	Female	255.8
65	Male	160
30	Female	9.1
61	Male	138.2
37	Female	137.2
56	Male	55.8
68	Male	31.3
68	Female	28
71	Male	95.9
67	Female	12.6
38	Female	123.2
44	Male	5.6
47	Female	323.8
37	Female	289.4
59	Female	49.6
44	Female	222.9
54	Female	448.2
46	Female	29.3
37	Female	21.6
40	Male	2.6
14	Male	3.3
12	Female	2
47	Female	160.9
45	Male	173.3
50	Female	5
61	Male	526.4
41	Female	270.3
17	Male	0.7
50	Male	135.7
47	Female	107
60	Male	28.5
22	Male	30.5
58	Female	9.5
55	Female	249.1
72	Female	23.7
63	Female	155.3
47	Female	230.4
51	Male	131.4
74	Male	460.7
61	Female	133.3
57	Female	34.5
36	Female	48.7
15	Male	16.8
5	Female	11.3
54	Male	17
47	Female	544.5
48	Female	17.7
49	Male	165.8
20	Female	4.8
50	Female	206.2
46	Female	158.3
52	Female	195.7
45	Female	10.5
51	Female	101.4
58	Female	118.1
47	Female	688.8
62	Female	176.8
54	Female	97.1
47	Female	36
50	Female	44.4
68	Female	226.4
53	Female	32.1
56	Female	144.5
40	Female	49.2
18	Male	1.7
16	Female	39.6
56	Female	50.2
38	Female	14.5
76	Female	276
61	Male	87.9
59	Female	107
61	Female	73
69	Female	41.2
66	Female	159
52	Female	142.4
19	Female	11.4
49	Female	73.1
64	Female	92.9
67	Male	2.6
25	Female	3.6
70	Male	141.1
63	Female	131.8
40	Female	50.1
39	Male	65.5
53	Male	296
68	Female	255.9
41	Female	270.1
56	Female	91
35	Female	122.3
13	Female	1.7
65	Male	49.5
58	Male	67.9
61	Female	545.9
65	Male	23.8
44	Male	18.4
29	Female	146.5
46	Female	548
14	Female	79.8
13	Female	61.7
11	Female	11.6
49	Male	205.6
64	Female	3
32	Female	37.1
61	Female	77.8
51	Female	73.5
48	Male	65.6
54	Female	195.6
49	Female	43.8
50	Male	1.3
33	Female	301.6
59	Female	209.2
30	Female	21.9
